级别,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,模块名,
6,"[360GarbageCleanerShellExt64.dll]",1,0,0.01,0.00,"360GarbageCleanerShellExt64.dll",
7,"[KernelBase.dll]",1,1,0.01,0.01,"KernelBase.dll",
0,"[igdumdim64.dll]",395,14,4.34,0.15,"igdumdim64.dll",
1,"[igdumdim64.dll]",246,11,2.71,0.12,"igdumdim64.dll",
2,"[igdumdim64.dll]",190,16,2.09,0.18,"igdumdim64.dll",
3,"[igdumdim64.dll]",160,37,1.76,0.41,"igdumdim64.dll",
4,"[igdumdim64.dll]",97,43,1.07,0.47,"igdumdim64.dll",
5,"[d3d9.dll]",27,27,0.30,0.30,"d3d9.dll",
5,"[igdumdim64.dll]",26,12,0.29,0.13,"igdumdim64.dll",
6,"[d3d9.dll]",9,9,0.10,0.10,"d3d9.dll",
6,"[igdumdim64.dll]",5,3,0.05,0.03,"igdumdim64.dll",
7,"[d3d9.dll]",1,1,0.01,0.01,"d3d9.dll",
7,"[kernel32.dll]",1,1,0.01,0.01,"kernel32.dll",
5,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
4,"[d3d9.dll]",23,23,0.25,0.25,"d3d9.dll",
4,"[kernel32.dll]",2,2,0.02,0.02,"kernel32.dll",
4,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
3,"[d3d9.dll]",14,14,0.15,0.15,"d3d9.dll",
2,"[d3d9.dll]",40,40,0.44,0.44,"d3d9.dll",
2,"[igdusc64.dll]",5,0,0.05,0.00,"igdusc64.dll",
3,"[igdusc64.dll]",5,0,0.05,0.00,"igdusc64.dll",
4,"[igdusc64.dll]",5,0,0.05,0.00,"igdusc64.dll",
5,"[igdusc64.dll]",5,0,0.05,0.00,"igdusc64.dll",
6,"[igdusc64.dll]",5,0,0.05,0.00,"igdusc64.dll",
7,"[igdusc64.dll]",5,0,0.05,0.00,"igdusc64.dll",
8,"[igdusc64.dll]",5,1,0.05,0.01,"igdusc64.dll",
9,"[igdusc64.dll]",4,0,0.04,0.00,"igdusc64.dll",
10,"[igdusc64.dll]",4,0,0.04,0.00,"igdusc64.dll",
11,"[igdusc64.dll]",3,1,0.03,0.01,"igdusc64.dll",
12,"[igdusc64.dll]",2,0,0.02,0.00,"igdusc64.dll",
13,"[igdusc64.dll]",2,1,0.02,0.01,"igdusc64.dll",
14,"[igdusc64.dll]",1,0,0.01,0.00,"igdusc64.dll",
15,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
11,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
1,"[d3d9.dll]",132,132,1.45,1.45,"d3d9.dll",
1,"[igdusc64.dll]",3,0,0.03,0.00,"igdusc64.dll",
2,"[igdusc64.dll]",3,0,0.03,0.00,"igdusc64.dll",
3,"[igdusc64.dll]",3,0,0.03,0.00,"igdusc64.dll",
4,"[igdusc64.dll]",3,0,0.03,0.00,"igdusc64.dll",
5,"[igdusc64.dll]",3,0,0.03,0.00,"igdusc64.dll",
6,"[igdusc64.dll]",3,0,0.03,0.00,"igdusc64.dll",
7,"[igdusc64.dll]",3,0,0.03,0.00,"igdusc64.dll",
8,"[igdusc64.dll]",3,0,0.03,0.00,"igdusc64.dll",
9,"[igdusc64.dll]",3,1,0.03,0.01,"igdusc64.dll",
10,"[igdusc64.dll]",2,0,0.02,0.00,"igdusc64.dll",
11,"[igdusc64.dll]",2,0,0.02,0.00,"igdusc64.dll",
12,"[igdusc64.dll]",2,1,0.02,0.01,"igdusc64.dll",
13,"[igdusc64.dll]",1,0,0.01,0.00,"igdusc64.dll",
14,"[igdusc64.dll]",1,0,0.01,0.00,"igdusc64.dll",
15,"[igdusc64.dll]",1,0,0.01,0.00,"igdusc64.dll",
16,"[igdusc64.dll]",1,0,0.01,0.00,"igdusc64.dll",
17,"[igdusc64.dll]",1,0,0.01,0.00,"igdusc64.dll",
18,"[igdusc64.dll]",1,1,0.01,0.01,"igdusc64.dll",
0,"[GROOVEEX.DLL]",20,0,0.22,0.00,"GROOVEEX.DLL",
1,"[GROOVEEX.DLL]",20,0,0.22,0.00,"GROOVEEX.DLL",
2,"[GROOVEEX.DLL]",15,0,0.16,0.00,"GROOVEEX.DLL",
3,"[GROOVEEX.DLL]",15,0,0.16,0.00,"GROOVEEX.DLL",
4,"[GROOVEEX.DLL]",15,0,0.16,0.00,"GROOVEEX.DLL",
5,"[GROOVEEX.DLL]",15,0,0.16,0.00,"GROOVEEX.DLL",
6,"[GROOVEEX.DLL]",14,0,0.15,0.00,"GROOVEEX.DLL",
7,"[GROOVEEX.DLL]",12,0,0.13,0.00,"GROOVEEX.DLL",
8,"[GROOVEEX.DLL]",12,0,0.13,0.00,"GROOVEEX.DLL",
9,"[GROOVEEX.DLL]",11,0,0.12,0.00,"GROOVEEX.DLL",
10,"[GROOVEEX.DLL]",11,0,0.12,0.00,"GROOVEEX.DLL",
11,"[KernelBase.dll]",9,3,0.10,0.03,"KernelBase.dll",
12,"[GROOVEEX.DLL]",6,0,0.07,0.00,"GROOVEEX.DLL",
13,"[GROOVEEX.DLL]",6,0,0.07,0.00,"GROOVEEX.DLL",
14,"[KernelBase.dll]",6,6,0.07,0.07,"KernelBase.dll",
11,"[GROOVEEX.DLL]",2,0,0.02,0.00,"GROOVEEX.DLL",
12,"[GROOVEEX.DLL]",1,0,0.01,0.00,"GROOVEEX.DLL",
13,"[GROOVEEX.DLL]",1,0,0.01,0.00,"GROOVEEX.DLL",
14,"[GROOVEEX.DLL]",1,1,0.01,0.01,"GROOVEEX.DLL",
12,"[KernelBase.dll]",1,1,0.01,0.01,"KernelBase.dll",
9,"[KernelBase.dll]",1,1,0.01,0.01,"KernelBase.dll",
7,"[KernelBase.dll]",2,2,0.02,0.02,"KernelBase.dll",
6,"[KernelBase.dll]",1,1,0.01,0.01,"KernelBase.dll",
2,"[msvcr90.dll]",5,0,0.05,0.00,"msvcr90.dll",
3,"[GROOVEEX.DLL]",5,1,0.05,0.01,"GROOVEEX.DLL",
4,"[GROOVEEX.DLL]",3,0,0.03,0.00,"GROOVEEX.DLL",
5,"[GROOVEEX.DLL]",3,0,0.03,0.00,"GROOVEEX.DLL",
6,"[GROOVEEX.DLL]",2,0,0.02,0.00,"GROOVEEX.DLL",
7,"[GROOVEEX.DLL]",2,0,0.02,0.00,"GROOVEEX.DLL",
8,"[KernelBase.dll]",1,1,0.01,0.01,"KernelBase.dll",
8,"[GROOVEEX.DLL]",1,0,0.01,0.00,"GROOVEEX.DLL",
9,"[GROOVEEX.DLL]",1,0,0.01,0.00,"GROOVEEX.DLL",
10,"[GROOVEEX.DLL]",1,1,0.01,0.01,"GROOVEEX.DLL",
6,"[user32.dll]",1,1,0.01,0.01,"user32.dll",
4,"[msvcr90.dll]",1,1,0.01,0.01,"msvcr90.dll",
0,"[FtpShellExt.dll]",19,0,0.21,0.00,"FtpShellExt.dll",
1,"[FtpShellExt.dll]",19,1,0.21,0.01,"FtpShellExt.dll",
2,"[FtpShellExt.dll]",18,0,0.20,0.00,"FtpShellExt.dll",
3,"[ws2_32.dll]",14,14,0.15,0.15,"ws2_32.dll",
3,"[mfc90u.dll]",2,2,0.02,0.02,"mfc90u.dll",
3,"[FtpShellExt.dll]",2,0,0.02,0.00,"FtpShellExt.dll",
4,"[FtpShellExt.dll]",2,0,0.02,0.00,"FtpShellExt.dll",
5,"[FtpShellExt.dll]",2,0,0.02,0.00,"FtpShellExt.dll",
6,"[user32.dll]",1,1,0.01,0.01,"user32.dll",
6,"[KernelBase.dll]",1,1,0.01,0.01,"KernelBase.dll",
0,"[ShellIco.dll]",12,0,0.13,0.00,"ShellIco.dll",
1,"[ShellIco.dll]",12,0,0.13,0.00,"ShellIco.dll",
2,"[ShellIco.dll]",12,1,0.13,0.01,"ShellIco.dll",
3,"[ShellIco.dll]",11,0,0.12,0.00,"ShellIco.dll",
4,"[ShellIco.dll]",10,0,0.11,0.00,"ShellIco.dll",
5,"[ntdll.dll]",4,4,0.04,0.04,"ntdll.dll",
5,"[ShellIco.dll]",4,2,0.04,0.02,"ShellIco.dll",
6,"[kernel32.dll]",1,1,0.01,0.01,"kernel32.dll",
6,"[ShellIco.dll]",1,1,0.01,0.01,"ShellIco.dll",
5,"[KernelBase.dll]",2,2,0.02,0.02,"KernelBase.dll",
4,"[KernelBase.dll]",1,1,0.01,0.01,"KernelBase.dll",
