类型,根函数名,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"Caller","[mscorlib.ni.dll]","endecryption.MainWindow.CreateFile",32,32,0.35,0.35,
"Caller","[mscorlib.ni.dll]","endecryption.Properties.Resources.get_CT_MP",8,8,0.09,0.09,
"Caller","[mscorlib.ni.dll]","MD5algorithm.MD5Crypto.MD5Encrypt",1,1,0.01,0.01,
"Caller","[mscorlib.ni.dll]","RSAalgorithm.RSA.RSAKey",28,28,0.31,0.31,
"Root","[msvcr90.dll]","[msvcr90.dll]",5,1,0.05,0.01,
"Caller","[msvcr90.dll]","[GROOVEEX.DLL]",5,1,0.05,0.01,
"Callee","[msvcr90.dll]","[GROOVEEX.DLL]",5,1,0.05,0.01,
"Root","[ntdll.dll]","[ntdll.dll]",9,9,0.10,0.10,
"Caller","[ntdll.dll]","[360GarbageCleanerShellExt64.dll]",1,1,0.01,0.01,
"Caller","[ntdll.dll]","[igdumdim64.dll]",2,2,0.02,0.02,
"Caller","[ntdll.dll]","[igdusc64.dll]",2,2,0.02,0.02,
"Caller","[ntdll.dll]","[ShellIco.dll]",4,4,0.04,0.04,
"Root","[obexpf.dll]","[obexpf.dll]",4,0,0.04,0.00,
"Caller","[obexpf.dll]","[obexpf.dll]",4,0,0.04,0.00,
"Callee","[obexpf.dll]","[mfc90u.dll]",4,4,0.04,0.04,
"Callee","[obexpf.dll]","[obexpf.dll]",4,0,0.04,0.00,
"Root","[PresentationFramework.ni.dll]","[PresentationFramework.ni.dll]","8,630","8,447",94.90,92.89,
"Caller","[PresentationFramework.ni.dll]","endecryption.App.Main","8,623","5,171",94.82,56.86,
"Caller","[PresentationFramework.ni.dll]","endecryption.MainWindow.getrichtextboxtext",34,34,0.37,0.37,
"Caller","[PresentationFramework.ni.dll]","endecryption.MainWindow.RSAencrypt_Click",2,2,0.02,0.02,
"Caller","[PresentationFramework.ni.dll]","endecryption.MainWindow.SaveCipher","2,197","2,197",24.16,24.16,
"Caller","[PresentationFramework.ni.dll]","endecryption.MainWindow.SaveClear","1,033","1,033",11.36,11.36,
"Caller","[PresentationFramework.ni.dll]","endecryption.MainWindow.setrichtextboxtext",10,10,0.11,0.11,
"Callee","[PresentationFramework.ni.dll]","[360GarbageCleanerShellExt64.dll]",1,0,0.01,0.00,
"Callee","[PresentationFramework.ni.dll]","[GROOVEEX.DLL]",1,0,0.01,0.00,
"Callee","[PresentationFramework.ni.dll]","endecryption.MainWindow.AESdecrypt_Click",5,0,0.05,0.00,
"Callee","[PresentationFramework.ni.dll]","endecryption.MainWindow.AESencrypt_Click",6,0,0.07,0.00,
"Callee","[PresentationFramework.ni.dll]","endecryption.MainWindow.DESencrypt_Click",41,0,0.45,0.00,
"Callee","[PresentationFramework.ni.dll]","endecryption.MainWindow.MD5encrypt_Click",14,0,0.15,0.00,
"Callee","[PresentationFramework.ni.dll]","endecryption.MainWindow.MenuAbout_Click",63,0,0.69,0.00,
"Callee","[PresentationFramework.ni.dll]","endecryption.MainWindow.MenuSaveall_Click","2,221",0,24.42,0.00,
"Callee","[PresentationFramework.ni.dll]","endecryption.MainWindow.RSAalg_GotFocus",1,0,0.01,0.00,
"Callee","[PresentationFramework.ni.dll]","endecryption.MainWindow.RSAencrypt_Click",36,0,0.40,0.00,
"Callee","[PresentationFramework.ni.dll]","endecryption.MainWindow.SaveClear","1,055",0,11.60,0.00,
"Callee","[PresentationFramework.ni.dll]","endecryption.MainWindow.setrichtextboxtext",8,0,0.09,0.00,
"Root","[ShellIco.dll]","[ShellIco.dll]",1,1,0.01,0.01,
"Caller","[ShellIco.dll]","[ShellIco.dll]",1,1,0.01,0.01,
"Root","[ShellIco.dll]","[ShellIco.dll]",12,3,0.13,0.03,
"Caller","[ShellIco.dll]","[ShellIco.dll]",12,3,0.13,0.03,
"Callee","[ShellIco.dll]","[kernel32.dll]",1,1,0.01,0.01,
"Callee","[ShellIco.dll]","[KernelBase.dll]",3,3,0.03,0.03,
"Callee","[ShellIco.dll]","[ntdll.dll]",4,4,0.04,0.04,
"Callee","[ShellIco.dll]","[ShellIco.dll]",12,3,0.13,0.03,
"Callee","[ShellIco.dll]","[ShellIco.dll]",1,1,0.01,0.01,
"Root","[System.Windows.Forms.ni.dll]","[System.Windows.Forms.ni.dll]",24,24,0.26,0.26,
"Caller","[System.Windows.Forms.ni.dll]","endecryption.AboutBox..ctor",2,2,0.02,0.02,
"Caller","[System.Windows.Forms.ni.dll]","endecryption.AboutBox.InitializeComponent",22,22,0.24,0.24,
"Root","[user32.dll]","[user32.dll]",4,4,0.04,0.04,
"Caller","[user32.dll]","[360GarbageCleanerShellExt64.dll]",2,2,0.02,0.02,
"Caller","[user32.dll]","[FtpShellExt.dll]",1,1,0.01,0.01,
"Caller","[user32.dll]","[GROOVEEX.DLL]",1,1,0.01,0.01,
"Root","[WindowsBase.ni.dll]","[WindowsBase.ni.dll]",1,1,0.01,0.01,
"Caller","[WindowsBase.ni.dll]","endecryption.MainWindow.RSAalg_GotFocus",1,1,0.01,0.01,
"Root","[ws2_32.dll]","[ws2_32.dll]",14,14,0.15,0.15,
"Caller","[ws2_32.dll]","[FtpShellExt.dll]",14,14,0.15,0.15,
"Root","AESalgorithm.AES.AESDecrypt","AESalgorithm.AES.AESDecrypt",1,0,0.01,0.00,
"Caller","AESalgorithm.AES.AESDecrypt","endecryption.MainWindow.AESdecrypt_Click",1,0,0.01,0.00,
"Callee","AESalgorithm.AES.AESDecrypt","[mscorlib.ni.dll]",1,1,0.01,0.01,
"Root","DESalgorithm.DES.Encrypt","DESalgorithm.DES.Encrypt",33,0,0.36,0.00,
"Caller","DESalgorithm.DES.Encrypt","endecryption.MainWindow.DESencrypt_Click",33,0,0.36,0.00,
"Callee","DESalgorithm.DES.Encrypt","[mscorlib.ni.dll]",33,33,0.36,0.36,
"Root","endecryption.AboutBox..ctor","endecryption.AboutBox..ctor",61,0,0.67,0.00,
"Caller","endecryption.AboutBox..ctor","endecryption.MainWindow.MenuAbout_Click",61,0,0.67,0.00,
"Callee","endecryption.AboutBox..ctor","[clr.dll]",26,26,0.29,0.29,
"Callee","endecryption.AboutBox..ctor","[System.Windows.Forms.ni.dll]",2,2,0.02,0.02,
"Callee","endecryption.AboutBox..ctor","endecryption.AboutBox.InitializeComponent",33,0,0.36,0.00,
"Root","endecryption.AboutBox.InitializeComponent","endecryption.AboutBox.InitializeComponent",33,0,0.36,0.00,
"Caller","endecryption.AboutBox.InitializeComponent","endecryption.AboutBox..ctor",33,0,0.36,0.00,
"Callee","endecryption.AboutBox.InitializeComponent","[clr.dll]",2,2,0.02,0.02,
"Callee","endecryption.AboutBox.InitializeComponent","[System.Windows.Forms.ni.dll]",22,22,0.24,0.24,
"Callee","endecryption.AboutBox.InitializeComponent","endecryption.Properties.Resources.get_CT_MP",9,0,0.10,0.00,
"Root","endecryption.App.Main","endecryption.App.Main","8,623",0,94.82,0.00,
"Callee","endecryption.App.Main","[PresentationFramework.ni.dll]","8,623","5,171",94.82,56.86,
"Root","endecryption.MainWindow.AESdecrypt_Click","endecryption.MainWindow.AESdecrypt_Click",5,0,0.05,0.00,
"Caller","endecryption.MainWindow.AESdecrypt_Click","[PresentationFramework.ni.dll]",5,0,0.05,0.00,
"Callee","endecryption.MainWindow.AESdecrypt_Click","[clr.dll]",4,4,0.04,0.04,
"Callee","endecryption.MainWindow.AESdecrypt_Click","AESalgorithm.AES.AESDecrypt",1,0,0.01,0.00,
"Root","endecryption.MainWindow.AESencrypt_Click","endecryption.MainWindow.AESencrypt_Click",6,0,0.07,0.00,
"Caller","endecryption.MainWindow.AESencrypt_Click","[PresentationFramework.ni.dll]",6,0,0.07,0.00,
"Callee","endecryption.MainWindow.AESencrypt_Click","[clr.dll]",4,4,0.04,0.04,
"Callee","endecryption.MainWindow.AESencrypt_Click","endecryption.MainWindow.getrichtextboxtext",2,0,0.02,0.00,
"Root","endecryption.MainWindow.CreateFile","endecryption.MainWindow.CreateFile",32,0,0.35,0.00,
"Caller","endecryption.MainWindow.CreateFile","endecryption.MainWindow.SaveCipher",16,0,0.18,0.00,
"Caller","endecryption.MainWindow.CreateFile","endecryption.MainWindow.SaveClear",16,0,0.18,0.00,
"Callee","endecryption.MainWindow.CreateFile","[mscorlib.ni.dll]",32,32,0.35,0.35,
"Root","endecryption.MainWindow.DESencrypt_Click","endecryption.MainWindow.DESencrypt_Click",41,0,0.45,0.00,
"Caller","endecryption.MainWindow.DESencrypt_Click","[PresentationFramework.ni.dll]",41,0,0.45,0.00,
"Callee","endecryption.MainWindow.DESencrypt_Click","[clr.dll]",2,2,0.02,0.02,
"Callee","endecryption.MainWindow.DESencrypt_Click","DESalgorithm.DES.Encrypt",33,0,0.36,0.00,
"Callee","endecryption.MainWindow.DESencrypt_Click","endecryption.MainWindow.getrichtextboxtext",6,0,0.07,0.00,
"Root","endecryption.MainWindow.getrichtextboxtext","endecryption.MainWindow.getrichtextboxtext",34,0,0.37,0.00,
"Caller","endecryption.MainWindow.getrichtextboxtext","endecryption.MainWindow.AESencrypt_Click",2,0,0.02,0.00,
"Caller","endecryption.MainWindow.getrichtextboxtext","endecryption.MainWindow.DESencrypt_Click",6,0,0.07,0.00,
"Caller","endecryption.MainWindow.getrichtextboxtext","endecryption.MainWindow.MD5encrypt_Click",10,0,0.11,0.00,
"Caller","endecryption.MainWindow.getrichtextboxtext","endecryption.MainWindow.RSAencrypt_Click",1,0,0.01,0.00,
"Caller","endecryption.MainWindow.getrichtextboxtext","endecryption.MainWindow.SaveCipher",7,0,0.08,0.00,
"Caller","endecryption.MainWindow.getrichtextboxtext","endecryption.MainWindow.SaveClear",8,0,0.09,0.00,
"Callee","endecryption.MainWindow.getrichtextboxtext","[PresentationFramework.ni.dll]",34,34,0.37,0.37,
"Root","endecryption.MainWindow.MD5encrypt_Click","endecryption.MainWindow.MD5encrypt_Click",14,0,0.15,0.00,
"Caller","endecryption.MainWindow.MD5encrypt_Click","[PresentationFramework.ni.dll]",14,0,0.15,0.00,
"Callee","endecryption.MainWindow.MD5encrypt_Click","[clr.dll]",3,3,0.03,0.03,
"Callee","endecryption.MainWindow.MD5encrypt_Click","endecryption.MainWindow.getrichtextboxtext",10,0,0.11,0.00,
"Callee","endecryption.MainWindow.MD5encrypt_Click","MD5algorithm.MD5Crypto.MD5Encrypt",1,0,0.01,0.00,
"Root","endecryption.MainWindow.MenuAbout_Click","endecryption.MainWindow.MenuAbout_Click",63,0,0.69,0.00,
"Caller","endecryption.MainWindow.MenuAbout_Click","[PresentationFramework.ni.dll]",63,0,0.69,0.00,
"Callee","endecryption.MainWindow.MenuAbout_Click","[clr.dll]",2,2,0.02,0.02,
"Callee","endecryption.MainWindow.MenuAbout_Click","endecryption.AboutBox..ctor",61,0,0.67,0.00,
"Root","endecryption.MainWindow.MenuSaveall_Click","endecryption.MainWindow.MenuSaveall_Click","2,226",0,24.48,0.00,
"Caller","endecryption.MainWindow.MenuSaveall_Click","[PresentationFramework.ni.dll]","2,221",0,24.42,0.00,
"Callee","endecryption.MainWindow.MenuSaveall_Click","[clr.dll]",5,5,0.05,0.05,
"Callee","endecryption.MainWindow.MenuSaveall_Click","endecryption.MainWindow.SaveCipher","2,221",0,24.42,0.00,
"Root","endecryption.MainWindow.RSAalg_GotFocus","endecryption.MainWindow.RSAalg_GotFocus",1,0,0.01,0.00,
"Caller","endecryption.MainWindow.RSAalg_GotFocus","[PresentationFramework.ni.dll]",1,0,0.01,0.00,
"Callee","endecryption.MainWindow.RSAalg_GotFocus","[WindowsBase.ni.dll]",1,1,0.01,0.01,
"Root","endecryption.MainWindow.RSAencrypt_Click","endecryption.MainWindow.RSAencrypt_Click",36,0,0.40,0.00,
"Caller","endecryption.MainWindow.RSAencrypt_Click","[PresentationFramework.ni.dll]",36,0,0.40,0.00,
"Callee","endecryption.MainWindow.RSAencrypt_Click","[clr.dll]",3,3,0.03,0.03,
"Callee","endecryption.MainWindow.RSAencrypt_Click","[PresentationFramework.ni.dll]",2,2,0.02,0.02,
"Callee","endecryption.MainWindow.RSAencrypt_Click","endecryption.MainWindow.getrichtextboxtext",1,0,0.01,0.00,
"Callee","endecryption.MainWindow.RSAencrypt_Click","endecryption.MainWindow.setrichtextboxtext",2,0,0.02,0.00,
"Callee","endecryption.MainWindow.RSAencrypt_Click","RSAalgorithm.RSA.RSAKey",28,0,0.31,0.00,
"Root","endecryption.MainWindow.SaveCipher","endecryption.MainWindow.SaveCipher","2,221",0,24.42,0.00,
"Caller","endecryption.MainWindow.SaveCipher","endecryption.MainWindow.MenuSaveall_Click","2,221",0,24.42,0.00,
"Callee","endecryption.MainWindow.SaveCipher","[clr.dll]",1,1,0.01,0.01,
"Callee","endecryption.MainWindow.SaveCipher","[PresentationFramework.ni.dll]","2,197","2,197",24.16,24.16,
"Callee","endecryption.MainWindow.SaveCipher","endecryption.MainWindow.CreateFile",16,0,0.18,0.00,
"Callee","endecryption.MainWindow.SaveCipher","endecryption.MainWindow.getrichtextboxtext",7,0,0.08,0.00,
"Root","endecryption.MainWindow.SaveClear","endecryption.MainWindow.SaveClear","1,057",0,11.62,0.00,
"Caller","endecryption.MainWindow.SaveClear","[PresentationFramework.ni.dll]","1,055",0,11.60,0.00,
"Callee","endecryption.MainWindow.SaveClear","[PresentationFramework.ni.dll]","1,033","1,033",11.36,11.36,
"Callee","endecryption.MainWindow.SaveClear","endecryption.MainWindow.CreateFile",16,0,0.18,0.00,
"Callee","endecryption.MainWindow.SaveClear","endecryption.MainWindow.getrichtextboxtext",8,0,0.09,0.00,
"Root","endecryption.MainWindow.setrichtextboxtext","endecryption.MainWindow.setrichtextboxtext",10,0,0.11,0.00,
