函数名,独占样本数,独占样本数百分比,指令地址,源行开始,源字符开始,源行结束,源字符结束,
"[ntdll.dll]",1,0.01,0x7FFB501D0C90,0,0,0,0,
"[ntdll.dll]",1,0.01,0x7FFB501D5A54,0,0,0,0,
"[ntdll.dll]",1,0.01,0x7FFB50203D97,0,0,0,0,
"[ShellIco.dll]",1,0.01,0x7FFB3F28E0CB,0,0,0,0,
"[ShellIco.dll]",1,0.01,0x7FFB3F28F799,0,0,0,0,
"[System.Windows.Forms.ni.dll]",1,0.01,0x7FFB27959831,0,0,0,0,
"[System.Windows.Forms.ni.dll]",1,0.01,0x7FFB27963217,0,0,0,0,
"[System.Windows.Forms.ni.dll]",1,0.01,0x7FFB2796E8B9,0,0,0,0,
"[System.Windows.Forms.ni.dll]",1,0.01,0x7FFB279723C9,0,0,0,0,
"[System.Windows.Forms.ni.dll]",1,0.01,0x7FFB279D45EA,0,0,0,0,
"[user32.dll]",1,0.01,0x7FFB4E164766,0,0,0,0,
"[user32.dll]",1,0.01,0x7FFB4E164A92,0,0,0,0,
"[user32.dll]",1,0.01,0x7FFB4E164B3B,0,0,0,0,
"[user32.dll]",1,0.01,0x7FFB4E17B767,0,0,0,0,
"[WindowsBase.ni.dll]",1,0.01,0x7FFB25F663F2,0,0,0,0,
"endecryption.MainWindow.RSAencrypt_Click",1,0.01,0x7FFADEEF6E4B,187,13,187,57,
"endecryption.MainWindow.RSAencrypt_Click",1,0.01,0x7FFADEEF6E5C,187,13,187,57,
"endecryption.MainWindow.setrichtextboxtext",1,0.01,0x7FFADEEF6D1D,158,13,158,42,
"endecryption.MainWindow.setrichtextboxtext",1,0.01,0x7FFADEEF6D28,159,13,159,48,
